system:index,Dynamic world LULC,EVI,Elevation in m,Gross primary productivity in kg C per square m per 16 days,Land surface temperature in °C,Leaf area index,Methane ppb,Monthly precipitation in mm,NDVI,.geo
76,Shrub and scrub,0.32,341,281.73,33.38,1.43,1855.61,1.31,0.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.95818298451392,-13.02557161973306]}"
77,Trees,0.32,611,283.0,30.34,1.91,1844.53,1.06,0.62,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.0598677003944,-13.02557161973306]}"
78,Trees,0.31,519,306.91,30.5,1.61,1854.19,1.18,0.59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.16155241627487,-13.02557161973306]}"
79,Crops,0.28,839,333.82,32.32,1.12,1868.19,1.92,0.53,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.26323713215535,-13.02557161973306]}"
80,Trees,0.47,429,726.0,27.57,3.79,1834.67,23.68,0.82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.73796639394818,-12.12725633561354]}"
81,Trees,0.47,314,719.27,28.19,3.79,1843.36,20.13,0.81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.83965110982865,-12.12725633561354]}"
82,Grass,0.43,302,652.91,30.28,3.15,1857.3,12.38,0.74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.94133582570913,-12.12725633561354]}"
83,Crops,0.44,309,692.27,30.28,3.0,1862.54,6.3,0.77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.04302054158961,-12.12725633561354]}"
84,Bare,0.34,363,453.0,32.02,2.25,1876.45,2.91,0.59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.14470525747009,-12.12725633561354]}"
85,Crops,0.38,361,590.0,30.89,2.68,1869.58,0.57,0.67,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.24638997335057,-12.12725633561354]}"
86,Trees,0.4,333,685.36,29.51,3.27,1855.95,0.54,0.73,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-54.34807468923105,-12.12725633561354]}"
87,Trees,0.44,310,702.64,27.6,4.35,1833.28,0.54,0.8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.44975940511153,-12.12725633561354]}"
88,Trees,0.35,323,537.45,32.44,2.3,1857.05,0.87,0.62,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-52.551444120992,-12.12725633561354]}"
89,Trees,0.36,341,464.82,32.65,2.02,1859.97,0.98,0.64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.65312883687248,-12.12725633561354]}"
90,Trees,0.3,200,264.73,32.53,1.47,1851.96,1.37,0.61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.754813552752964,-12.12725633561354]}"
91,Trees,0.33,239,375.0,32.83,1.61,1849.3,1.32,0.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.85649826863344,-12.12725633561354]}"
92,Trees,0.33,275,392.55,33.25,1.48,1855.69,1.35,0.59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.95818298451392,-12.12725633561354]}"
93,Shrub and scrub,0.33,382,384.55,31.35,1.72,1850.46,1.63,0.62,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.0598677003944,-12.12725633561354]}"
94,Shrub and scrub,0.3,360,343.82,31.67,1.46,1855.58,1.17,0.57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.16155241627487,-12.12725633561354]}"
95,Crops,0.29,795,352.27,32.27,1.19,1869.42,4.55,0.51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.26323713215535,-12.12725633561354]}"
96,Trees,0.51,329,760.36,26.52,5.54,1833.02,32.24,0.87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.73796639394818,-11.228941051494019]}"
97,Trees,0.43,311,598.73,29.05,3.44,1867.04,22.95,0.7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.83965110982865,-11.228941051494019]}"
98,Grass,0.48,273,683.91,30.03,3.34,1862.94,13.27,0.81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.94133582570913,-11.228941051494019]}"
99,Crops,0.43,341,610.73,29.76,3.52,1868.99,5.89,0.73,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.04302054158961,-11.228941051494019]}"
100,Grass,0.42,357,629.0,29.77,3.37,1868.28,3.25,0.72,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.14470525747009,-11.228941051494019]}"
101,Trees,0.41,354,604.91,30.91,3.03,1865.3,1.28,0.7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.24638997335057,-11.228941051494019]}"
102,Trees,0.41,336,652.36,30.34,3.28,1864.99,0.85,0.71,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-54.34807468923105,-11.228941051494019]}"
103,Trees,0.49,321,761.82,27.8,4.84,1831.05,1.37,0.86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.44975940511153,-11.228941051494019]}"
104,Crops,0.39,319,599.64,32.63,2.4,1863.0,1.88,0.67,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-52.551444120992,-11.228941051494019]}"
105,Trees,0.31,228,327.55,33.69,1.59,1856.36,1.17,0.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.65312883687248,-11.228941051494019]}"
106,Trees,0.31,184,290.45,32.12,1.83,1855.11,1.44,0.62,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.754813552752964,-11.228941051494019]}"
107,Trees,0.37,200,370.18,32.33,1.97,1852.32,2.27,0.69,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.85649826863344,-11.228941051494019]}"
108,Trees,0.33,286,409.18,33.01,1.88,1857.0,3.99,0.61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.95818298451392,-11.228941051494019]}"
109,Trees,0.35,401,416.64,32.93,1.71,1857.59,3.34,0.64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.0598677003944,-11.228941051494019]}"
110,Grass,0.3,422,368.91,34.3,0.78,1861.44,3.14,0.58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.16155241627487,-11.228941051494019]}"
111,Trees,0.28,719,346.64,32.87,0.79,1870.21,4.48,0.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.26323713215535,-11.228941051494019]}"
112,Trees,0.49,264,734.55,28.14,4.57,1841.63,42.03,0.84,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.73796639394818,-10.330625767374496]}"
113,Grass,0.47,275,694.45,28.95,3.75,1861.37,32.77,0.79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.83965110982865,-10.330625767374496]}"
