system:index,Dynamic world LULC,EVI,Elevation in m,Gross primary productivity in kg C per square m per 16 days,Land surface temperature in °C,Leaf area index,Methane ppb,Monthly precipitation in mm,NDVI,.geo
48,Built,0.31,46,0.0,26.54,1.79,1867.96,36.84,0.51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.344473545595493,52.448137863318266]}"
49,Built,0.31,46,0.0,26.54,1.79,1868.17,36.98,0.53,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.353456698436688,52.448137863318266]}"
50,Built,0.33,44,0.0,26.54,1.79,1867.4,36.98,0.54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.362439851277882,52.448137863318266]}"
51,Built,0.32,41,0.0,26.54,1.79,1867.57,36.98,0.54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.371423004119078,52.448137863318266]}"
52,Built,0.29,47,0.0,27.05,1.4,1867.19,36.98,0.49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.380406156960273,52.448137863318266]}"
53,Built,0.33,50,0.0,27.05,1.4,1867.19,36.98,0.55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.38938930980147,52.448137863318266]}"
54,Built,0.38,50,0.0,27.05,1.4,1866.01,36.98,0.59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.398372462642664,52.448137863318266]}"
55,Built,0.4,48,0.0,27.05,1.4,1866.38,36.98,0.63,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.407355615483858,52.448137863318266]}"
56,Built,0.37,45,0.0,27.05,1.4,1865.66,36.98,0.58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.416338768325055,52.448137863318266]}"
57,Built,0.33,45,0.0,27.89,1.69,1865.56,36.98,0.52,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.42532192116625,52.448137863318266]}"
58,Built,0.35,45,0.0,27.89,1.69,1865.78,36.98,0.56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.434305074007444,52.448137863318266]}"
59,Built,0.38,48,0.0,27.89,1.69,1865.8,36.98,0.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.44328822684864,52.448137863318266]}"
